th_1 end
th_4 end
th_2 end
th_3 end
 A i=0, c=2, m=99572
 A i=1, c=3, m=324476
 A i=2, c=4, m=159822
 A i=3, c=5, m=97852
 A i=4, c=6, m=56792
 A i=5, c=7, m=40592
 A i=6, c=8, m=27308
 A i=7, c=9, m=20972
 A i=8, c=11, m=12880
 A i=9, c=15, m=5954
 A i=10, c=12, m=9750
 A i=11, c=13, m=8450
 A i=12, c=17, m=4444
 A i=13, c=14, m=6830
 A i=14, c=10, m=15538
 A i=15, c=21, m=2742
 A i=16, c=20, m=2914
 A i=17, c=32, m=992
 A i=18, c=24, m=1912
 A i=19, c=23, m=2276
 A i=20, c=18, m=3796
 A i=21, c=22, m=2346
 A i=22, c=19, m=3398
 A i=23, c=27, m=1558
 A i=24, c=29, m=1346
 A i=25, c=16, m=4986
 A i=26, c=56, m=276
 A i=27, c=35, m=840
 A i=28, c=28, m=1374
 A i=29, c=39, m=716
 A i=30, c=37, m=794
 A i=31, c=30, m=1126
 A i=32, c=44, m=540
 A i=33, c=25, m=1756
 A i=34, c=33, m=928
 A i=35, c=26, m=1628
 A i=36, c=36, m=824
 A i=37, c=65, m=220
 A i=38, c=42, m=534
 A i=39, c=38, m=746
 A i=40, c=269, m=10
 A i=41, c=97, m=92
 A i=42, c=60, m=274
 A i=43, c=40, m=618
 A i=44, c=64, m=202
 A i=45, c=0, m=332597
 A i=46, c=31, m=1108
 A i=47, c=112, m=72
 A i=48, c=54, m=296
 A i=49, c=55, m=356
 A i=50, c=45, m=524
 A i=51, c=76, m=164
 A i=52, c=66, m=176
 A i=53, c=51, m=360
 A i=54, c=71, m=198
 A i=55, c=41, m=594
 A i=56, c=63, m=236
 A i=57, c=58, m=262
 A i=58, c=52, m=364
 A i=59, c=43, m=548
 A i=60, c=57, m=304
 A i=61, c=50, m=388
 A i=62, c=46, m=416
 A i=63, c=49, m=444
 A i=64, c=74, m=158
 A i=65, c=34, m=826
 A i=66, c=102, m=100
 A i=67, c=47, m=468
 A i=68, c=59, m=296
 A i=69, c=53, m=332
 A i=70, c=139, m=68
 A i=71, c=48, m=422
 A i=72, c=77, m=156
 A i=73, c=78, m=150
 A i=74, c=123, m=78
 A i=75, c=88, m=80
 A i=76, c=61, m=266
 A i=77, c=101, m=110
 A i=78, c=103, m=122
 A i=79, c=95, m=90
 A i=80, c=89, m=110
 A i=81, c=125, m=76
 A i=82, c=86, m=136
 A i=83, c=131, m=58
 A i=84, c=106, m=68
 A i=85, c=72, m=186
 A i=86, c=69, m=172
 A i=87, c=127, m=50
 A i=88, c=186, m=28
 A i=89, c=144, m=36
 A i=90, c=85, m=124
 A i=91, c=923, m=4
 A i=92, c=92, m=116
 A i=93, c=68, m=166
 A i=94, c=73, m=166
 A i=95, c=137, m=48
 A i=96, c=81, m=152
 A i=97, c=121, m=62
 A i=98, c=194, m=30
 A i=99, c=148, m=46
 A i=100, c=124, m=72
 A i=101, c=116, m=76
 A i=102, c=174, m=26
 A i=103, c=141, m=52
 A i=104, c=206, m=16
 A i=105, c=322, m=10
 A i=106, c=501, m=8
 A i=107, c=70, m=188
 A i=108, c=62, m=214
 A i=109, c=337, m=4
 A i=110, c=140, m=36
 A i=111, c=314, m=12
 A i=112, c=79, m=122
 A i=113, c=235, m=16
 A i=114, c=128, m=62
 A i=115, c=288, m=16
 A i=116, c=151, m=30
 A i=117, c=87, m=98
 A i=118, c=313, m=8
 A i=119, c=142, m=64
 A i=120, c=67, m=210
 A i=121, c=581, m=7
 A i=122, c=887, m=2
 A i=123, c=309, m=12
 A i=124, c=100, m=88
 A i=125, c=668, m=2
 A i=126, c=214, m=34
 A i=127, c=283, m=10
 A i=128, c=94, m=72
 A i=129, c=113, m=80
 A i=130, c=122, m=74
 A i=131, c=178, m=48
 A i=132, c=99, m=106
 A i=133, c=146, m=38
 A i=134, c=491, m=10
 A i=135, c=216, m=16
 A i=136, c=225, m=34
 A i=137, c=83, m=120
 A i=138, c=118, m=52
 A i=139, c=168, m=32
 A i=140, c=970, m=4
 A i=141, c=93, m=112
 A i=142, c=111, m=84
 A i=143, c=150, m=76
 A i=144, c=143, m=42
 A i=145, c=237, m=16
 A i=146, c=177, m=24
 A i=147, c=4224, m=2
 A i=148, c=275, m=14
 A i=149, c=402, m=8
 A i=150, c=507, m=6
 A i=151, c=171, m=26
 A i=152, c=119, m=52
 A i=153, c=329, m=6
 A i=154, c=98, m=102
 A i=155, c=522, m=2
 A i=156, c=134, m=60
 A i=157, c=719, m=4
 A i=158, c=232, m=12
 A i=159, c=117, m=62
 A i=160, c=133, m=60
 A i=161, c=197, m=18
 A i=162, c=191, m=34
 A i=163, c=547, m=4
 A i=164, c=252, m=16
 A i=165, c=108, m=86
 A i=166, c=159, m=30
 A i=167, c=82, m=146
 A i=168, c=109, m=82
 A i=169, c=1511, m=2
 A i=170, c=80, m=160
 A i=171, c=199, m=40
 A i=172, c=115, m=72
 A i=173, c=114, m=58
 A i=174, c=154, m=54
 A i=175, c=306, m=10
 A i=176, c=205, m=22
 A i=177, c=247, m=14
 A i=178, c=84, m=140
 A i=179, c=215, m=32
 A i=180, c=153, m=46
 A i=181, c=158, m=32
 A i=182, c=190, m=16
 A i=183, c=75, m=180
 A i=184, c=1463, m=2
 A i=185, c=596, m=2
 A i=186, c=1310, m=1
 A i=187, c=240, m=20
 A i=188, c=331, m=14
 A i=189, c=370, m=16
 A i=190, c=238, m=22
 A i=191, c=338, m=4
 A i=192, c=695, m=6
 A i=193, c=1056, m=1
 A i=194, c=1031, m=4
 A i=195, c=489, m=6
 A i=196, c=110, m=64
 A i=197, c=221, m=16
 A i=198, c=227, m=18
 A i=199, c=155, m=32
 A i=200, c=557, m=10
 A i=201, c=185, m=24
 A i=202, c=222, m=22
 A i=203, c=228, m=18
 A i=204, c=480, m=6
 A i=205, c=129, m=62
 A i=206, c=1094, m=4
 A i=207, c=478, m=2
 A i=208, c=1106, m=4
 A i=209, c=323, m=6
 A i=210, c=624, m=6
 A i=211, c=173, m=28
 A i=212, c=3266, m=2
 A i=213, c=200, m=6
 A i=214, c=435, m=4
 A i=215, c=267, m=12
 A i=216, c=369, m=4
 A i=217, c=136, m=60
 A i=218, c=213, m=14
 A i=219, c=218, m=12
 A i=220, c=1539, m=3
 A i=221, c=181, m=24
 A i=222, c=149, m=50
 A i=223, c=506, m=2
 A i=224, c=297, m=10
 A i=225, c=627, m=6
 A i=226, c=175, m=46
 A i=227, c=876, m=2
 A i=228, c=667, m=2
 A i=229, c=344, m=6
 A i=230, c=455, m=6
 A i=231, c=196, m=24
 A i=232, c=271, m=11
 A i=233, c=379, m=16
 A i=234, c=672, m=2
 A i=235, c=201, m=10
 A i=236, c=396, m=6
 A i=237, c=4886, m=2
 A i=238, c=1010, m=2
 A i=239, c=1354, m=2
 A i=240, c=511, m=4
 A i=241, c=179, m=26
 A i=242, c=166, m=32
 A i=243, c=107, m=70
 A i=244, c=210, m=14
 A i=245, c=8664, m=1
 A i=246, c=135, m=60
 A i=247, c=395, m=4
 A i=248, c=170, m=32
 A i=249, c=628, m=2
 A i=250, c=392, m=8
 A i=251, c=750, m=2
 A i=252, c=1838, m=1
 A i=253, c=1631, m=6
 A i=254, c=2407, m=2
 A i=255, c=524, m=6
 A i=256, c=989, m=6
 A i=257, c=1947, m=1
 A i=258, c=1316, m=1
 A i=259, c=366, m=8
 A i=260, c=169, m=18
 A i=261, c=184, m=22
 A i=262, c=815, m=4
 A i=263, c=2896, m=1
 A i=264, c=2530, m=1
 A i=265, c=96, m=92
 A i=266, c=165, m=24
 A i=267, c=365, m=13
 A i=268, c=351, m=10
 A i=269, c=899, m=4
 A i=270, c=286, m=14
 A i=271, c=281, m=14
 A i=272, c=120, m=64
 A i=273, c=3733, m=1
 A i=274, c=363, m=9
 A i=275, c=202, m=18
 A i=276, c=359, m=6
 A i=277, c=450, m=5
 A i=278, c=1859, m=1
 A i=279, c=448, m=6
 A i=280, c=687, m=2
 A i=281, c=980, m=4
 A i=282, c=157, m=28
 A i=283, c=7041, m=1
 A i=284, c=304, m=20
 A i=285, c=3907, m=2
 A i=286, c=1034, m=2
 A i=287, c=307, m=16
 A i=288, c=193, m=42
 A i=289, c=126, m=66
 A i=290, c=1151, m=4
 A i=291, c=1179, m=2
 A i=292, c=671, m=2
 A i=293, c=468, m=4
 A i=294, c=163, m=42
 A i=295, c=233, m=30
 A i=296, c=662, m=2
 A i=297, c=632, m=2
 A i=298, c=312, m=4
 A i=299, c=579, m=4
 A i=300, c=333, m=12
 A i=301, c=689, m=4
 A i=302, c=380, m=8
 A i=303, c=160, m=34
 A i=304, c=1766, m=2
 A i=305, c=2660, m=2
 A i=306, c=3699, m=2
 A i=307, c=248, m=16
 A i=308, c=630, m=2
 A i=309, c=548, m=2
 A i=310, c=182, m=20
 A i=311, c=152, m=46
 A i=312, c=203, m=26
 A i=313, c=4665, m=2
 A i=314, c=680, m=4
 A i=315, c=849, m=2
 A i=316, c=851, m=2
 A i=317, c=1124, m=3
 A i=318, c=162, m=40
 A i=319, c=90, m=84
 A i=320, c=386, m=8
 A i=321, c=372, m=8
 A i=322, c=599, m=2
 A i=323, c=219, m=28
 A i=324, c=381, m=6
 A i=325, c=147, m=30
 A i=326, c=223, m=22
 A i=327, c=316, m=6
 A i=328, c=1149, m=2
 A i=329, c=6505, m=2
 A i=330, c=854, m=4
 A i=331, c=272, m=12
 A i=332, c=255, m=14
 A i=333, c=217, m=30
 A i=334, c=419, m=8
 A i=335, c=5082, m=2
 A i=336, c=569, m=2
 A i=337, c=342, m=6
 A i=338, c=986, m=2
 A i=339, c=226, m=14
 A i=340, c=486, m=2
 A i=341, c=91, m=118
 A i=342, c=408, m=8
 A i=343, c=192, m=28
 A i=344, c=156, m=20
 A i=345, c=258, m=12
 A i=346, c=940, m=2
 A i=347, c=300, m=10
 A i=348, c=2378, m=2
 A i=349, c=1053, m=2
 A i=350, c=3797, m=2
 A i=351, c=164, m=30
 A i=352, c=1893, m=1
 A i=353, c=438, m=6
 A i=354, c=1741, m=2
 A i=355, c=828, m=2
 A i=356, c=1268, m=1
 A i=357, c=245, m=24
 A i=358, c=172, m=28
 A i=359, c=341, m=6
 A i=360, c=497, m=4
 A i=361, c=9026, m=2
 A i=362, c=290, m=12
 A i=363, c=243, m=14
 A i=364, c=241, m=14
 A i=365, c=429, m=12
 A i=366, c=212, m=16
 A i=367, c=384, m=10
 A i=368, c=807, m=2
 A i=369, c=2554, m=1
 A i=370, c=2555, m=1
 A i=371, c=262, m=12
 A i=372, c=207, m=22
 A i=373, c=280, m=14
 A i=374, c=321, m=10
 A i=375, c=377, m=6
 A i=376, c=675, m=3
 A i=377, c=104, m=106
 A i=378, c=299, m=10
 A i=379, c=1770, m=2
 A i=380, c=231, m=22
 A i=381, c=745, m=4
 A i=382, c=1023, m=2
 A i=383, c=1131, m=4
 A i=384, c=183, m=26
 A i=385, c=1350, m=2
 A i=386, c=187, m=26
 A i=387, c=403, m=8
 A i=388, c=285, m=12
 A i=389, c=340, m=8
 A i=390, c=208, m=20
 A i=391, c=397, m=10
 A i=392, c=1980, m=2
 A i=393, c=644, m=6
 A i=394, c=527, m=6
 A i=395, c=626, m=6
 A i=396, c=364, m=10
 A i=397, c=277, m=10
 A i=398, c=1857, m=2
 A i=399, c=1552, m=2
 A i=400, c=8284, m=2
 A i=401, c=145, m=52
 A i=402, c=317, m=10
 A i=403, c=1679, m=4
